ID;Name;Street;OperatingOrgName;AdmArea;District;RouteNumbers;StationName;Direction;Pavilion;geoData;global_id
1;«Дербеневская наб.», 3-й Дербеневский переулок (7);3-й Дербеневский переулок;ГУП «Мосгортранс»;Южный административный округ;Даниловский район;"А632; А13";Дербеневская наб.;;да;"Геоданные:  
Координаты: [
  37.6551636,
  55.72566817
] 
Тип: Point";889076457.0
2;«Наб. Тараса Шевченко», набережная Тараса Шевченко (11);набережная Тараса Шевченко;ГУП «Мосгортранс»;Западный административный округ;район Дорогомилово;"А205; А91";Наб. Тараса Шевченко;;да;"Геоданные:  
Координаты: [
  37.57240854,
  55.74944352
] 
Тип: Point";889076459.0
3;«Наб. Тараса Шевченко», набережная Тараса Шевченко (12);набережная Тараса Шевченко;ГУП «Мосгортранс»;Западный административный округ;район Дорогомилово;А91;Наб. Тараса Шевченко;;да;"Геоданные:  
Координаты: [
  37.57271647,
  55.74976112
] 
Тип: Point";889076460.0
4;«ВКНЦ», 3-я Черепковская улица (27);3-я Черепковская улица;ГУП «Мосгортранс»;Западный административный округ;район Кунцево;"А798; А816; А660";ВКНЦ;;да;"Геоданные:  
Координаты: [
  37.37550932,
  55.7572642
] 
Тип: Point";889076461.0
5;«Новосущевская ул.», улица Сущёвский Вал (33);улица Сущёвский Вал;ГУП «Мосгортранс»;Северо-Восточный административный округ;район Марьина Роща;"А126; А84; А384; АТ18; АТ42";Новосущевская ул.;;да;"Геоданные:  
Координаты: [
  37.60337594,
  55.79289095
] 
Тип: Point";889076463.0
6;«Керамический пр.», Дубнинская улица (35);Дубнинская улица;ГУП «Мосгортранс»;Северный административный округ;район Восточное Дегунино;"А799; А179; А167; А677; А677К";Керамический пр.;;да;"Геоданные:  
Координаты: [
  37.55724554,
  55.89460802
] 
Тип: Point";889076464.0
7;«Ин-т Стали», Дубнинская улица (36);Дубнинская улица;ГУП «Мосгортранс»;Северный административный округ;район Восточное Дегунино;"А799; А179; А167; А677; А677К";Ин-т Стали;;да;"Геоданные:  
Координаты: [
  37.55729147,
  55.89142924
] 
Тип: Point";889076465.0
8;«Мкр. Дубки», Дубнинская улица (37);Дубнинская улица;ГУП «Мосгортранс»;Северный административный округ;район Восточное Дегунино;"А799; А179; А167; А677; А677К";Мкр. Дубки;;да;"Геоданные:  
Координаты: [
  37.55730686,
  55.88768746
] 
Тип: Point";889076466.0
9;«Д/к Юность», Дубнинская улица (38);Дубнинская улица;ГУП «Мосгортранс»;Северный административный округ;район Восточное Дегунино;"А799; А179; А167; А677; А677К";Д/к Юность;;да;"Геоданные:  
Координаты: [
  37.5573643949,
  55.8833589241
] 
Тип: Point";889076467.0
10;«Баскетбольная школа», улица 800-летия Москвы (39);улица 800-летия Москвы;ГУП «Мосгортранс»;Северный административный округ;район Восточное Дегунино;"А799; А179; А748; А167; А857; А149";Баскетбольная школа;;да;"Геоданные:  
Координаты: [
  37.55636146,
  55.88011364
] 
Тип: Point";889076469.0
11;«Ул. 800-летия Москвы», Дмитровское шоссе (40);Дмитровское шоссе;ГУП «Мосгортранс»;Северный административный округ;Бескудниковский район;"А179; А563; А763; А63; А843; А994; АТ36; АТ78";Ул. 800-летия Москвы;;да;"Геоданные:  
Координаты: [
  37.54599654,
  55.87767168
] 
Тип: Point";889076470.0
12;«Бескудниково», Дмитровское шоссе (41);Дмитровское шоссе;ГУП «Мосгортранс»;Северный административный округ;Бескудниковский район;"А179; А563; А763; А63; А843; А994; АТ36; АТ78";Бескудниково;;да;"Геоданные:  
Координаты: [
  37.54704248,
  55.87458982
] 
Тип: Point";889076471.0
13;«Селигерская ул.», Дмитровское шоссе (42);Дмитровское шоссе;;Северный административный округ;Бескудниковский район;"А206к; А63";Селигерская ул.;;нет;"Геоданные:  
Координаты: [
  37.54674812,
  55.86919544
] 
Тип: Point";889076472.0
14;«Парк Святослава Федорова», Дмитровское шоссе (43);Дмитровское шоссе;ГУП «Мосгортранс»;Северный административный округ;район Западное Дегунино;"А179; А563; А194; А763; А215; А591; А843; А994; АТ36; АТ56; АТ78";Парк Святослава Федорова;;да;"Геоданные:  
Координаты: [
  37.5484894912,
  55.8633348164
] 
Тип: Point";889076473.0
15;«Ильменский пр.», Дмитровское шоссе (44);Дмитровское шоссе;ГУП «Мосгортранс»;Северный административный округ;район Западное Дегунино;"А179; А563; А194; А763; А215; А591; А843; А994; АТ36; АТ56; АТ78";Ильменский пр.;;да;"Геоданные:  
Координаты: [
  37.55318989,
  55.86077256
] 
Тип: Point";889076475.0
16;«Метро Верхние Лихоборы - Северный вестибюль», Дмитровское шоссе (45);Дмитровское шоссе;ГУП «Мосгортранс»;Северный административный округ;район Западное Дегунино;"А179; А563; А194; А763; А215; А591; А843; А994; АТ36; АТ56; АТ78";Метро Верхние Лихоборы - Северный вестибюль;;да;"Геоданные:  
Координаты: [
  37.5582614716,
  55.8582121735
] 
Тип: Point";889076476.0
17;«Нижн. Лихоборы», Дмитровское шоссе (47);Дмитровское шоссе;ГУП «Мосгортранс»;Северный административный округ;Тимирязевский район;"А215; А282";Нижн. Лихоборы;;да;"Геоданные:  
Координаты: [
  37.5673105,
  55.84733792
] 
Тип: Point";889076478.0
18;«Метро Петровско-Разумовская», Локомотивный проезд (48);Локомотивный проезд;ГУП «Мосгортранс»;Северный административный округ;Тимирязевский район;"А204; А114; А282; А300; А461; АТ19";Метро Петровско-Разумовская;;да;"Геоданные:  
Координаты: [
  37.57585651,
  55.83716907
] 
Тип: Point";889076479.0
19;«Михалковская ул.», Большая Академическая улица (49);Большая Академическая улица;ГУП «Мосгортранс»;Северный административный округ;район Коптево;"А179; А204; А114; А323; А282; А300; А461; А591; АТ19; АТ57";Михалковская ул.;;да;"Геоданные:  
Координаты: [
  37.53956854,
  55.8371443498
] 
Тип: Point";889076480.0
20;«Стадион Наука», Большая Академическая улица (50);Большая Академическая улица;ГУП «Мосгортранс»;Северный административный округ;район Коптево;"А179; А204; А114; А323; А282; А461; А591; АТ19; АТ57";Стадион Наука;;да;"Геоданные:  
Координаты: [
  37.5328525,
  55.83295208
] 
Тип: Point";889076481.0
21;«Управа района Коптево», улица Зои и Александра Космодемьянских (51);улица Зои и Александра Космодемьянских;ГУП «Мосгортранс»;Северный административный округ;район Коптево;"А179; А780; А204; А282; А591";Управа района Коптево;;да;"Геоданные:  
Координаты: [
  37.52242762,
  55.82411549
] 
Тип: Point";889076483.0
22;«К/т Рассвет», улица Зои и Александра Космодемьянских (52);улица Зои и Александра Космодемьянских;ГУП «Мосгортранс»;Северный административный округ;район Коптево;"А179; А780; А204; А282; А591";К/т Рассвет;;да;"Геоданные:  
Координаты: [
  37.51887274,
  55.82307265
] 
Тип: Point";889076484.0
23;«3-й Новоподмосковный пер.», улица Зои и Александра Космодемьянских (53);улица Зои и Александра Космодемьянских;;Северный административный округ;Войковский район;"А179; А780; АО23; А204; АО27; А282; А591";3-й Новоподмосковный пер.;;нет;"Геоданные:  
Координаты: [
  37.51071983,
  55.82087948
] 
Тип: Point";889076485.0
24;«3-й Новоподмосковный пер.», улица Зои и Александра Космодемьянских (54);улица Зои и Александра Космодемьянских;ГУП «Мосгортранс»;Северный административный округ;Войковский район;"А179; А780; АО23; А204; АО27; А282; А591";3-й Новоподмосковный пер.;;да;"Геоданные:  
Координаты: [
  37.51203859,
  55.8210445
] 
Тип: Point";889076486.0
25;«К/т Рассвет», улица Зои и Александра Космодемьянских (55);улица Зои и Александра Космодемьянских;ГУП «Мосгортранс»;Северный административный округ;Войковский район;"А179; А780; АО23; А204; АО27; А282; А591";К/т Рассвет;;да;"Геоданные:  
Координаты: [
  37.51687828,
  55.82237098
] 
Тип: Point";889076487.0
26;«Управа района Коптево», улица Зои и Александра Космодемьянских (56);улица Зои и Александра Космодемьянских;;Северный административный округ;район Коптево;"А179; А780; А204; А282; А591";Управа района Коптево;;нет;"Геоданные:  
Координаты: [
  37.5231852,
  55.82399093
] 
Тип: Point";889076488.0
27;«Стадион Наука», Большая Академическая улица (57);Большая Академическая улица;ГУП «Мосгортранс»;Северный административный округ;район Коптево;"А179; А204; А114; А323; А282; А461; А591; АТ19; АТ57";Стадион Наука;;да;"Геоданные:  
Координаты: [
  37.53338601,
  55.83304516
] 
Тип: Point";889076489.0
28;«7-й автобусный парк», Дмитровское шоссе (61);Дмитровское шоссе;ГУП «Мосгортранс»;Северный административный округ;Бескудниковский район;"А179; АТ47; А677; А677К; АМ10; А114; А82; А692; А154; А194; А215; А282; А591; А843; А994; АТ36; АТ56; АТ78";7-й автобусный парк;;да;"Геоданные:  
Координаты: [
  37.56524413,
  55.85199725
] 
Тип: Point";889076490.0
29;«Метро Верхние Лихоборы - Северный вестибюль», Дмитровское шоссе (62);Дмитровское шоссе;ГУП «Мосгортранс»;Северный административный округ;Бескудниковский район;"А179; АТ47; А563; А194; А763; А215; А591; А799; А843; А994; АТ36; АТ56; АТ78";Метро Верхние Лихоборы - Северный вестибюль;;да;"Геоданные:  
Координаты: [
  37.55947707,
  55.8580184
] 
Тип: Point";889076491.0
30;«Ильменский пр.», Дмитровское шоссе (63);Дмитровское шоссе;ГУП «Мосгортранс»;Северный административный округ;Бескудниковский район;"А179; АТ47; А563; А194; А763; А215; А591; А799; А843; А994; АТ36; АТ56; АТ78";Ильменский пр.;;да;"Геоданные:  
Координаты: [
  37.5540423035,
  55.8609062765
] 
Тип: Point";889076492.0
31;«Парк Святослава Федорова», Дмитровское шоссе (64);Дмитровское шоссе;ГУП «Мосгортранс»;Северный административный округ;Бескудниковский район;"А179; А563; А763; А799; А843; А994; АТ36; АТ78";Парк Святослава Федорова;;да;"Геоданные:  
Координаты: [
  37.54918648,
  55.86376719
] 
Тип: Point";889076493.0
32;«Селигерская ул.», Дмитровское шоссе (65);Дмитровское шоссе;ГУП «Мосгортранс»;Северный административный округ;Бескудниковский район;"А179; А563; А763; А206к; А63; А799; А843; А994; АТ36; АТ78";Селигерская ул.;;да;"Геоданные:  
Координаты: [
  37.54748211,
  55.86854848
] 
Тип: Point";889076494.0
33;«Бескудниково», Дмитровское шоссе (66);Дмитровское шоссе;ГУП «Мосгортранс»;Северный административный округ;Бескудниковский район;"А179; А563; А763; А63; А799; А843; А994; АТ36; АТ78";Бескудниково;;да;"Геоданные:  
Координаты: [
  37.54811496,
  55.87427208
] 
Тип: Point";889076495.0
34;«Баскетбольная школа», Дубнинская улица (67);Дубнинская улица;ГУП «Мосгортранс»;Северный административный округ;район Восточное Дегунино;"А799; А179; А167; А677; А677К";Баскетбольная школа;;да;"Геоданные:  
Координаты: [
  37.55775278,
  55.88068293
] 
Тип: Point";889076496.0
35;«Д/к Юность», Дубнинская улица (68);Дубнинская улица;ГУП «Мосгортранс»;Северный административный округ;район Восточное Дегунино;"А799; А179; А167; А677; А677К";Д/к Юность;;да;"Геоданные:  
Координаты: [
  37.5577084088,
  55.8843275315
] 
Тип: Point";889076497.0
36;«Мкр. Дубки», Дубнинская улица (69);Дубнинская улица;ГУП «Мосгортранс»;Северный административный округ;район Восточное Дегунино;"А799; А179; А167; А677; А677К";Мкр. Дубки;;да;"Геоданные:  
Координаты: [
  37.5576739643,
  55.8881514089
] 
Тип: Point";889076498.0
37;«Ин-т Стали», Дубнинская улица (70);Дубнинская улица;ГУП «Мосгортранс»;Северный административный округ;район Восточное Дегунино;"А799; А179; А167; А677; А677К";Ин-т Стали;;да;"Геоданные:  
Координаты: [
  37.55762874,
  55.89221605
] 
Тип: Point";889076499.0
38;«Керамический пр.», Дубнинская улица (71);Дубнинская улица;ГУП «Мосгортранс»;Северный административный округ;район Восточное Дегунино;"А799; А179; А167; А677; А677К";Керамический пр.;;да;"Геоданные:  
Координаты: [
  37.5575677861,
  55.8935280894
] 
Тип: Point";889076500.0
39;«Ст. МЦД Лианозово (выс.)», Дубнинская улица (72);Дубнинская улица;;Северный административный округ;район Восточное Дегунино;"А799; А179; А167; А677; А677К";Ст. МЦД Лианозово (выс.);;нет;"Геоданные:  
Координаты: [
  37.55445131,
  55.89652393
] 
Тип: Point";889076501.0
40;«Ст. Ховрино (пос.)», Ангарская улица (73);Ангарская улица;ГУП «Мосгортранс»;Северный административный округ;район Западное Дегунино;"А665; А748; А215К; А154; А928; А191; А215; А270; А571; А591";Ст. Ховрино (пос.);;да;"Геоданные:  
Координаты: [
  37.51160056,
  55.86956661
] 
Тип: Point";889076502.0
41;«Весенняя ул.», Ангарская улица (74);Ангарская улица;ГУП «Мосгортранс»;Северный административный округ;район Западное Дегунино;"А665; А928; А270; А571; А591";Весенняя ул.;;да;"Геоданные:  
Координаты: [
  37.51459808,
  55.87376954
] 
Тип: Point";889076503.0
42;«Мкр. Западное Дегунино», Ангарская улица (75);Ангарская улица;ГУП «Мосгортранс»;Северный административный округ;район Западное Дегунино;"А665; А928; А270; А571; А591";Мкр. Западное Дегунино;;да;"Геоданные:  
Координаты: [
  37.5174212,
  55.87606574
] 
Тип: Point";889076504.0
43;«Ангарская ул.», Коровинское шоссе (76);Коровинское шоссе;ГУП «Мосгортранс»;Северный административный округ;Дмитровский район;"А665; А799; А656; А114; А191; А270; А571; АТ56";Ангарская ул.;;да;"Геоданные:  
Координаты: [
  37.52218296,
  55.87921929
] 
Тип: Point";889076505.0
44;«Колледж № 7», Клязьминская улица (77);Клязьминская улица;ГУП «Мосгортранс»;Северный административный округ;Дмитровский район;"А665; А200; А194; А571";Колледж № 7;;да;"Геоданные:  
Координаты: [
  37.52067236,
  55.88456731
] 
Тип: Point";889076506.0
45;«Ин-т Микрохирургии глаза», Коровинское шоссе (78);Коровинское шоссе;ГУП «Мосгортранс»;Северный административный округ;район Западное Дегунино;"А215К; А656; А672; А194; А191; А591; АТ56";Ин-т Микрохирургии глаза;;да;"Геоданные:  
Координаты: [
  37.53738746,
  55.86877206
] 
Тип: Point";889076507.0
46;«Селигерская ул.», Коровинское шоссе (79);Коровинское шоссе;ГУП «Мосгортранс»;Северный административный округ;район Западное Дегунино;А591;Селигерская ул.;;да;"Геоданные:  
Координаты: [
  37.54237868,
  55.86639614
] 
Тип: Point";889076508.0
47;«К/т Комсомолец», Дмитровское шоссе (80);Дмитровское шоссе;ГУП «Мосгортранс»;Северный административный округ;Тимирязевский район;"АТ47; А677; АМ10; А114; А82; А692; А215; А466; АТ56; АТ78";К/т Комсомолец;;да;"Геоданные:  
Координаты: [
  37.57003659,
  55.84090834
] 
Тип: Point";889076509.0
48;«Педагогический колледж», Большая Академическая улица (81);Большая Академическая улица;ГУП «Мосгортранс»;Северный административный округ;район Коптево;"А179; А204; А123; А114; А87; А282; А461; А591; АТ19; АТ57";Педагогический колледж;;да;"Геоданные:  
Координаты: [
  37.55258978,
  55.84190084
] 
Тип: Point";889076510.0
49;«Университет Природообустройства», Большая Академическая улица (82);Большая Академическая улица;ГУП «Мосгортранс»;Северный административный округ;район Коптево;"А179; А204; А114; А323; А282; А461; А591; АТ19; АТ57";Университет Природообустройства;;да;"Геоданные:  
Координаты: [
  37.54470218,
  55.83894722
] 
Тип: Point";889076511.0
50;«Роддом № 27», Большая Академическая улица (83);Большая Академическая улица;ГУП «Мосгортранс»;Северный административный округ;район Коптево;"А179; А204; А323; А282; А300; А461; А591; АТ19; АТ57";Роддом № 27;;да;"Геоданные:  
Координаты: [
  37.53038275,
  55.8289194
] 
Тип: Point";889076512.0
51;«Роддом № 27», Большая Академическая улица (84);Большая Академическая улица;ГУП «Мосгортранс»;Северный административный округ;район Коптево;"А179; А204; А323; А282; А300; А461; А591; АТ19; АТ57";Роддом № 27;;да;"Геоданные:  
Координаты: [
  37.53085818,
  55.82911305
] 
Тип: Point";889076513.0
52;«Университет Природообустройства», Большая Академическая улица (85);Большая Академическая улица;ГУП «Мосгортранс»;Северный административный округ;Тимирязевский район;"А179; А204; А114; А282; А461; А591; АТ19; АТ57";Университет Природообустройства;;да;"Геоданные:  
Координаты: [
  37.54499163,
  55.83864991
] 
Тип: Point";889076514.0
53;«Педагогический колледж», Большая Академическая улица (86);Большая Академическая улица;ГУП «Мосгортранс»;Северный административный округ;Тимирязевский район;"А179; А204; А123; А114; А87; А282; А461; А591; АТ19; АТ57";Педагогический колледж;;да;"Геоданные:  
Координаты: [
  37.5546848,
  55.84225467
] 
Тип: Point";889076515.0
54;«Метро Петровско-Разумовская», улица Линии Октябрьской Железной Дороги (87);улица Линии Октябрьской Железной Дороги;ГУП «Мосгортранс»;Северный административный округ;Тимирязевский район;"А194; А215";Метро Петровско-Разумовская;;да;"Геоданные:  
Координаты: [
  37.5755751,
  55.83730911
] 
Тип: Point";889076516.0
55;«Метро Селигерская», Коровинское шоссе (91);Коровинское шоссе;ГУП «Мосгортранс»;Северный административный округ;Бескудниковский район;"А215К; А656; А672; А194; А191; А591; АТ56";Метро Селигерская;;да;"Геоданные:  
Координаты: [
  37.54477895,
  55.86556347
] 
Тип: Point";889076517.0
56;«Селигерская ул.», Коровинское шоссе (92);Коровинское шоссе;ГУП «Мосгортранс»;Северный административный округ;Бескудниковский район;"А215К; А656; А672; А194; А191; А591; АТ56";Селигерская ул.;;да;"Геоданные:  
Координаты: [
  37.54054356,
  55.86754868
] 
Тип: Point";889076518.0
57;«Ин-т Микрохирургии глаза», Коровинское шоссе (93);Коровинское шоссе;ГУП «Мосгортранс»;Северный административный округ;Бескудниковский район;"А215К; А656; А672; А194; А191; А591; АТ56";Ин-т Микрохирургии глаза;;да;"Геоданные:  
Координаты: [
  37.53539092,
  55.86998419
] 
Тип: Point";889076519.0
58;«Колледж № 7», Клязьминская улица (94);Клязьминская улица;ГУП «Мосгортранс»;Северный административный округ;Дмитровский район;"А665; А194; А571";Колледж № 7;;да;"Геоданные:  
Координаты: [
  37.51853547,
  55.88351247
] 
Тип: Point";889076520.0
59;«Ангарская ул.», Ангарская улица (95);Ангарская улица;ГУП «Мосгортранс»;Северный административный округ;район Западное Дегунино;"А665; А928; А270; А571; А591";Ангарская ул.;;да;"Геоданные:  
Координаты: [
  37.5202723,
  55.87759056
] 
Тип: Point";889076521.0
60;«Мкр. Западное Дегунино», Ангарская улица (96);Ангарская улица;ГУП «Мосгортранс»;Северный административный округ;район Западное Дегунино;"А665; А928; А270; А571; А591";Мкр. Западное Дегунино;;да;"Геоданные:  
Координаты: [
  37.51697285,
  55.87600214
] 
Тип: Point";889076522.0
61;«Весенняя ул.», Ангарская улица (97);Ангарская улица;ГУП «Мосгортранс»;Северный административный округ;район Западное Дегунино;"А665; А928; А270; А571; А591";Весенняя ул.;;да;"Геоданные:  
Координаты: [
  37.51498184,
  55.87432548
] 
Тип: Point";889076523.0
62;«Ст. Ховрино (выс.)», Ангарская улица (98);Ангарская улица;;Северный административный округ;район Западное Дегунино;"А665; А748; А215К; А154; А928; А191; А215; А270; А571; А591";Ст. Ховрино (выс.);;нет;"Геоданные:  
Координаты: [
  37.51078637,
  55.86998315
] 
Тип: Point";889076524.0
63;«Онкологический диспансер», Старопетровский проезд (99);Старопетровский проезд;ГУП «Мосгортранс»;Северный административный округ;Войковский район;"А621; А90; А114; А888";Онкологический диспансер;;да;"Геоданные:  
Координаты: [
  37.50259018,
  55.82324046
] 
Тип: Point";889076525.0
64;«Старопетровский пр.», Старопетровский проезд (100);Старопетровский проезд;ГУП «Мосгортранс»;Северный административный округ;Войковский район;"А621; А90; А114; А888";Старопетровский пр.;;да;"Геоданные:  
Координаты: [
  37.50872434,
  55.82466889
] 
Тип: Point";889076526.0
65;«Ф-ка игрушек», улица Клары Цеткин (101);улица Клары Цеткин;ГУП «Мосгортранс»;Северный административный округ;район Коптево;"А621; А90";Ф-ка игрушек;;да;"Геоданные:  
Координаты: [
  37.51170757,
  55.82979654
] 
Тип: Point";889076527.0
66;«Диспансер», Михалковская улица (103);Михалковская улица;ГУП «Мосгортранс»;Северный административный округ;район Коптево;"А621; А123; А90; А565";Диспансер;;да;"Геоданные:  
Координаты: [
  37.50611432,
  55.83722166
] 
Тип: Point";889076528.0
67;«Электромеханический колледж», Михалковская улица (104);Михалковская улица;ГУП «Мосгортранс»;Северный административный округ;район Коптево;"А621; А123; А90; А565";Электромеханический колледж;;да;"Геоданные:  
Координаты: [
  37.51312248,
  55.83772474
] 
Тип: Point";889076529.0
68;«Ф-ка им. Петра Алексеева», Михалковская улица (105);Михалковская улица;ГУП «Мосгортранс»;Северный административный округ;район Коптево;"А621; А123; А90; А565";Ф-ка им. Петра Алексеева;;да;"Геоданные:  
Координаты: [
  37.51644356,
  55.8395005
] 
Тип: Point";889076530.0
69;«Ст. Коптево», Михалковская улица (106);Михалковская улица;ГУП «Мосгортранс»;Северный административный округ;район Коптево;"А621; А123; А90; А565";Ст. Коптево;;да;"Геоданные:  
Координаты: [
  37.51935117,
  55.84121915
] 
Тип: Point";889076531.0
70;«Онежская ул. - Колледж», Онежская улица (107);Онежская улица;ГУП «Мосгортранс»;Северный административный округ;Головинский район;"А621; А123; А90; А22; А72; А565; А801; А139; А595; А888";Онежская ул. - Колледж;;да;"Геоданные:  
Координаты: [
  37.52181196,
  55.84540799
] 
Тип: Point";889076532.0
71;«3-й Лихачевский пер.», Онежская улица (108);Онежская улица;ГУП «Мосгортранс»;Северный административный округ;Головинский район;"А621; А90; А72; А565; А801; А139; А595; А888";3-й Лихачевский пер.;;да;"Геоданные:  
Координаты: [
  37.52077371,
  55.84940542
] 
Тип: Point";889076533.0
72;«Онежская ул., 19», Онежская улица (109);Онежская улица;ГУП «Мосгортранс»;Северный административный округ;Головинский район;"А621; А90; А72; А565; А801; А139; А595; А888";Онежская ул., 19;;да;"Геоданные:  
Координаты: [
  37.5192826,
  55.85217697
] 
Тип: Point";889076534.0
73;«Солнечногорская ул.», Онежская улица (110);Онежская улица;ГУП «Мосгортранс»;Северный административный округ;Головинский район;"А621; А65; А90; А65К; А565; А801";Солнечногорская ул.;;да;"Геоданные:  
Координаты: [
  37.51306166,
  55.85651928
] 
Тип: Point";889076535.0
74;«Флотская ул.», Онежская улица (111);Онежская улица;ГУП «Мосгортранс»;Северный административный округ;Головинский район;"А65; А90; А65К; А565; А801; А500";Флотская ул.;;да;"Геоданные:  
Координаты: [
  37.508804660376,
  55.8595968610101
] 
Тип: Point";889076536.0
75;«Фестивальная ул.», Петрозаводская улица (112);Петрозаводская улица;ГУП «Мосгортранс»;Северный административный округ;район Ховрино;"А233; А90; А801; А594";Фестивальная ул.;;да;"Геоданные:  
Координаты: [
  37.50413371,
  55.86302215
] 
Тип: Point";889076537.0
76;«М-н Книги», Петрозаводская улица (113);Петрозаводская улица;ГУП «Мосгортранс»;Северный административный округ;район Ховрино;"А233; А90; А801; А594";М-н Книги;;да;"Геоданные:  
Координаты: [
  37.5002661697,
  55.8647419791
] 
Тип: Point";889076538.0
77;«Аптека», Петрозаводская улица (114);Петрозаводская улица;ГУП «Мосгортранс»;Северный административный округ;район Ховрино;"А233; А90; А801; А594";Аптека;;да;"Геоданные:  
Координаты: [
  37.49690351,
  55.86590354
] 
Тип: Point";889076539.0
78;«Петрозаводская ул.», Петрозаводская улица (115);Петрозаводская улица;ГУП «Мосгортранс»;Северный административный округ;район Ховрино;"А90; А801; А500; АТ58";Петрозаводская ул.;;да;"Геоданные:  
Координаты: [
  37.49047802,
  55.86710975
] 
Тип: Point";889076540.0
79;«15-й таксомоторный парк», Беломорская улица (116);Беломорская улица;ГУП «Мосгортранс»;Северный административный округ;район Ховрино;"А90; А500; АТ58";15-й таксомоторный парк;;да;"Геоданные:  
Координаты: [
  37.4835904385,
  55.8670126721
] 
Тип: Point";889076541.0
80;«Метро Беломорская», Смольная улица (117);Смольная улица;;Северный административный округ;район Левобережный;"А90; А173; А400; А199; А851; А270; А338; А739; АТ58";Метро Беломорская;;нет;"Геоданные:  
Координаты: [
  37.47707357,
  55.86531154
] 
Тип: Point";889076542.0
81;«Смольная ул., 45», Смольная улица (118);Смольная улица;ГУП «Мосгортранс»;Северный административный округ;район Левобережный;"А90; А173; А199; А851; А270; А338; А739; АТ58";Смольная ул., 45;;да;"Геоданные:  
Координаты: [
  37.47967752,
  55.86286328
] 
Тип: Point";889076543.0
82;«Школа им. Марш. Говорова», Смольная улица (119);Смольная улица;ГУП «Мосгортранс»;Северный административный округ;район Левобережный;"А90; А173; А199; А851; А270; А338; А739; АТ58";Школа им. Марш. Говорова;;да;"Геоданные:  
Координаты: [
  37.48169028,
  55.86114044
] 
Тип: Point";889076544.0
83;«Смольная ул.», Фестивальная улица (120);Фестивальная улица;;Северный административный округ;район Левобережный;"А233; А90; А173; А199; А200; А857; А851; А801; А284; А138; А188; А270; А338; А451; А739; А745; АТ58";Смольная ул.;;нет;"Геоданные:  
Координаты: [
  37.48466984,
  55.8581037
] 
Тип: Point";889076545.0
84;«Автокомбинат № 3», улица Линии Октябрьской Железной Дороги (121);улица Линии Октябрьской Железной Дороги;ГУП «Мосгортранс»;Северный административный округ;Тимирязевский район;"А204; А123; А114; А282; А461; АТ19";Автокомбинат № 3;;да;"Геоданные:  
Координаты: [
  37.56315646,
  55.84366117
] 
Тип: Point";889076546.0
85;«Учебный центр», Клязьминская улица (122);Клязьминская улица;ГУП «Мосгортранс»;Северный административный округ;Дмитровский район;"А665; А200; А194; А571";Учебный центр;;да;"Геоданные:  
Координаты: [
  37.52245028,
  55.88566944
] 
Тип: Point";889076547.0
86;«Клязьминская ул.», Ангарская улица (123);Ангарская улица;ГУП «Мосгортранс»;Северный административный округ;Дмитровский район;"А672; А194";Клязьминская ул.;;да;"Геоданные:  
Координаты: [
  37.5257866,
  55.88619486
] 
Тип: Point";889076548.0
87;«Храм Матроны Московской», Ангарская улица (124);Ангарская улица;ГУП «Мосгортранс»;Северный административный округ;Дмитровский район;"А672; А194; А928";Храм Матроны Московской;;да;"Геоданные:  
Координаты: [
  37.52949825,
  55.88299191
] 
Тип: Point";889076549.0
88;«Ангарская ул., 49», Ангарская улица (125);Ангарская улица;ГУП «Мосгортранс»;Северный административный округ;Дмитровский район;"А672; А194; А928";Ангарская ул., 49;;да;"Геоданные:  
Координаты: [
  37.5289602,
  55.88104652
] 
Тип: Point";889076550.0
89;«Ангарская ул.», Коровинское шоссе (126);Коровинское шоссе;ГУП «Мосгортранс»;Северный административный округ;район Западное Дегунино;"А799; А656; А672; А114; А194; А191; А591; АТ56";Ангарская ул.;;да;"Геоданные:  
Координаты: [
  37.52317839,
  55.87781596
] 
Тип: Point";889076551.0
90;«Протезный з-д», Коровинское шоссе (127);Коровинское шоссе;ГУП «Мосгортранс»;Северный административный округ;Дмитровский район;"А215К; А656; А672; А194; А92; А191; А215; А591; АТ56";Протезный з-д;;да;"Геоданные:  
Координаты: [
  37.52851198,
  55.87373993
] 
Тип: Point";889076552.0
91;«Талдомская ул.», Коровинское шоссе (128);Коровинское шоссе;ГУП «Мосгортранс»;Северный административный округ;Дмитровский район;"А799; А656; А672; А114; А194; А191; А591; АТ56";Талдомская ул.;;да;"Геоданные:  
Координаты: [
  37.5259288,
  55.87563883
] 
Тип: Point";889076553.0
92;«Ангарская ул.», Ангарская улица (129);Ангарская улица;ГУП «Мосгортранс»;Северный административный округ;Дмитровский район;"А672; А194; А928";Ангарская ул.;;да;"Геоданные:  
Координаты: [
  37.52488287,
  55.87892817
] 
Тип: Point";889076554.0
93;«Ангарская ул., 49», Ангарская улица (130);Ангарская улица;ГУП «Мосгортранс»;Северный административный округ;Дмитровский район;"А672; А194; А928";Ангарская ул., 49;;да;"Геоданные:  
Координаты: [
  37.52936392,
  55.88135692
] 
Тип: Point";889076555.0
94;«Храм Матроны Московской», Ангарская улица (131);Ангарская улица;ГУП «Мосгортранс»;Северный административный округ;Дмитровский район;"А672; А194; А928";Храм Матроны Московской;;да;"Геоданные:  
Координаты: [
  37.53007852,
  55.88382937
] 
Тип: Point";889076556.0
